The 2500 is for the radiant dye and the 3098 is for Thorlabs black.
x_peak: 3098, y_peak: 1994, x0: 3098.0, y0: 1994.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2500, y_peak: 2027, x0: 2500.0, y0: 2027.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2503, y_peak: 2055, x0: 2503.0, y0: 2055.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3100, y_peak: 1988, x0: 3100.0, y0: 1988.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2490, y_peak: 2053, x0: 2490.0, y0: 2053.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3094, y_peak: 1961, x0: 3094.0, y0: 1961.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2487, y_peak: 2048, x0: 2487.0, y0: 2048.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3086, y_peak: 1965, x0: 3086.0, y0: 1965.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2495, y_peak: 2062, x0: 2495.0, y0: 2062.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3107, y_peak: 1987, x0: 3107.0, y0: 1987.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2502, y_peak: 2050, x0: 2502.0, y0: 2050.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3088, y_peak: 1953, x0: 3088.0, y0: 1953.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2496, y_peak: 2054, x0: 2496.0, y0: 2054.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3105, y_peak: 1983, x0: 3105.0, y0: 1983.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2502, y_peak: 2046, x0: 2502.0, y0: 2046.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3089, y_peak: 1956, x0: 3089.0, y0: 1956.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2493, y_peak: 2044, x0: 2493.0, y0: 2044.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3099, y_peak: 1963, x0: 3099.0, y0: 1963.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2498, y_peak: 2050, x0: 2498.0, y0: 2050.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3091, y_peak: 1960, x0: 3091.0, y0: 1960.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3102, y_peak: 1978, x0: 3102.0, y0: 1978.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2499, y_peak: 2039, x0: 2499.0, y0: 2039.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3094, y_peak: 1978, x0: 3094.0, y0: 1978.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2502, y_peak: 2039, x0: 2502.0, y0: 2039.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2501, y_peak: 2065, x0: 2501.0, y0: 2065.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3093, y_peak: 1977, x0: 3093.0, y0: 1977.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2507, y_peak: 2043, x0: 2507.0, y0: 2043.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3098, y_peak: 1969, x0: 3098.0, y0: 1969.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2490, y_peak: 2048, x0: 2490.0, y0: 2048.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3100, y_peak: 1962, x0: 3100.0, y0: 1962.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2494, y_peak: 2049, x0: 2494.0, y0: 2049.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3104, y_peak: 1980, x0: 3104.0, y0: 1980.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3104, y_peak: 1981, x0: 3104.0, y0: 1981.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2497, y_peak: 2037, x0: 2497.0, y0: 2037.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2497, y_peak: 2053, x0: 2497.0, y0: 2053.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3090, y_peak: 1960, x0: 3090.0, y0: 1960.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2495, y_peak: 2050, x0: 2495.0, y0: 2050.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3109, y_peak: 1995, x0: 3109.0, y0: 1995.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2496, y_peak: 2048, x0: 2496.0, y0: 2048.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3096, y_peak: 1968, x0: 3096.0, y0: 1968.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2492, y_peak: 2046, x0: 2492.0, y0: 2046.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3098, y_peak: 1998, x0: 3098.0, y0: 1998.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2502, y_peak: 2046, x0: 2502.0, y0: 2046.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3098, y_peak: 1966, x0: 3098.0, y0: 1966.0, A: 4.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3095, y_peak: 1995, x0: 3095.0, y0: 1995.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2489, y_peak: 2032, x0: 2489.0, y0: 2032.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2498, y_peak: 2045, x0: 2498.0, y0: 2045.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 3107, y_peak: 1994, x0: 3107.0, y0: 1994.0, A: 5.0, sigma_x: 1.0, sigma_y: 1.0
x_peak: 2494, y_peak: 2049, x0: 2494.0, y0: 2049.0, A: 6.0, sigma_x: 1.0, sigma_y: 1.0
